prompt_len,concurrency,n_iterations,mean_latency_mean,mean_latency_lo,mean_latency_hi,p95_latency_mean,p95_latency_lo,p95_latency_hi,p99_latency_mean,p99_latency_lo,p99_latency_hi,mean_ttft_mean,mean_ttft_lo,mean_ttft_hi,p95_ttft_mean,p95_ttft_lo,p95_ttft_hi,p99_ttft_mean,p99_ttft_lo,p99_ttft_hi,requests_per_second_mean,requests_per_second_lo,requests_per_second_hi,tokens_per_second_mean,tokens_per_second_lo,tokens_per_second_hi,error_rate_mean,error_rate_lo,error_rate_hi,timeout_rate_mean,timeout_rate_lo,timeout_rate_hi
512,16,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
512,32,3,4.011086947749365,4.011086947749365,4.011086947749365,4.792040607449598,4.792040607449598,4.792040607449598,4.813811639160849,4.813811639160849,4.813811639160849,0.17068684870006898,0.17068684870006898,0.17068684870006898,0.27229851693846285,0.27229851693846285,0.27229851693846285,0.276983211459592,0.276983211459592,0.276983211459592,2.580693390063347,-8.523134069339106,13.6845208494658,273.9525222202788,-904.770045332554,1452.6750897731115,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
1024,1,3,4.268167210955552,4.267792063180127,4.2685423587309765,4.269240544199996,4.268051314193246,4.270429774206746,4.2703122203062405,4.26808508918686,4.272539351425621,0.04667167488882518,0.04645868169511409,0.046884668082536274,0.04739012103312537,0.04652547573481793,0.04825476633143281,0.047573070606504196,0.04724483590840415,0.04790130530460424,0.23428955813264152,0.23426895193811745,0.2343101643271656,29.989063440978114,29.986425848079033,29.991701033877195,0.0,0.0,0.0,0.0,0.0,0.0
1024,2,3,4.306737679297698,4.299907544240665,4.313567814354731,4.3094752931668605,4.30864181030052,4.310308776033201,4.317261172566977,4.315746320535688,4.318776024598266,0.06933557545236606,0.06279471749953493,0.07587643340519719,0.07232708878356485,0.0715594971291036,0.0730946804380261,0.08013812698372628,0.07913267294257396,0.0811435810248786,0.46425728842148684,0.4635223031409892,0.4649922737019845,59.424932917950315,59.330854802046616,59.519011033854014,0.0,0.0,0.0,0.0,0.0,0.0
1024,4,3,4.364824210160632,4.3616130663563375,4.368035353964926,4.368730688499757,4.362542505822109,4.374918871177405,4.382734587349781,4.377566082276724,4.387903092422839,0.07364829671424948,0.06870985186550833,0.07858674156299063,0.0785847125833546,0.06983236419196227,0.08733706097474693,0.09273157173329309,0.08691914014572638,0.0985440033208598,0.9162367150366503,0.915726471643478,0.9167469584298226,117.27829952469123,117.21298837036518,117.34361067901729,0.0,0.0,0.0,0.0,0.0,0.0
1024,8,3,4.502202795074221,4.502202795074221,4.502202795074221,4.526571327238344,4.526571327238344,4.526571327238344,4.528491834900342,4.528491834900342,4.528491834900342,0.12144901323232002,0.12144901323232002,0.12144901323232002,0.14573647254146635,0.14573647254146635,0.14573647254146635,0.146301470734179,0.146301470734179,0.146301470734179,0.5914423266397509,-1.9533286145661464,3.1362132678456485,75.70461780988812,-250.02606266446674,401.435298284243,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
1024,16,3,4.760819004342641,4.760819004342641,4.760819004342641,4.793595811002888,4.793595811002888,4.793595811002888,4.794598858496174,4.794598858496174,4.794598858496174,0.18343626008180974,0.18343626008180974,0.18343626008180974,0.21978880919050425,0.21978880919050425,0.21978880919050425,0.2215797367785126,0.2215797367785126,0.2215797367785126,1.1194393760900485,-3.697119511232832,5.935998263412929,143.2882401395262,-473.2312974378025,759.807777716855,0.6666666666666666,-0.7675509099164876,2.100884243249821,0.0,0.0,0.0
1024,32,3,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2048,1,3,4.289912715047692,4.289595564238992,4.290229865856393,4.290436437916696,4.290169524301029,4.290703351532364,4.290726207049844,4.290650000080265,4.290802414019423,0.051273997785907945,0.050967763386705986,0.0515802321851099,0.05188756123367663,0.051275454635969914,0.05249966783138335,0.05206610531362458,0.0519737196987547,0.05215849092849446,0.23310160924324444,0.23308498456818302,0.23311823391830586,29.83700598313529,29.834878024727427,29.83913394154315,0.0,0.0,0.0,0.0,0.0,0.0
2048,2,3,4.356670212690319,4.352964731895959,4.360375693484679,4.3583506627334065,4.356680907095429,4.360020418371384,4.370004060869621,4.36869621206359,4.3713119096756525,0.07309733520230023,0.06958951649449599,0.07660515391010447,0.07527205883313097,0.07452277008293064,0.0760213475833313,0.08682627697624412,0.08614483388293902,0.08750772006954922,0.4589375580996529,0.4585472044335206,0.45932791176578525,58.744007436755574,58.694042167490636,58.79397270602051,0.0,0.0,0.0,0.0,0.0,0.0
